"Node 1","Node 2","OHL Length (km)","Cable Length (km)","Circuit Type","R (% on 100 MVA)","X (% on 100 MVA)","B (% on 100 MVA)","Winter Rating (MVA)","Autumn Rating (MVA)","Summer Rating (MVA)","Spring Rating (MVA)"
COSO40,TILB4B,12.24,0,OHL,0.0209154,0.22548,7.425483,2010,1910,1750,1910
COTT40,EASO40,135.3,0,OHL,0.144771,2.24598,91.69281,2780,2570,2220,2570
COTT40,EASO40,135.3,0,OHL,0.144771,2.24598,91.69281,2780,2570,2220,2570
COTT40,KEAD4C,34.11,0,OHL,0.0547753,0.620786,21.332235,2210,2130,1980,2130
COTT40,KEAD4D,34.11,0,OHL,0.0547753,0.620786,21.332235,2210,2130,1980,2130
COTT40,STAY41,27.97,0,OHL,0.0486678,0.520242,17.126031,2210,2130,1980,2130
COTT40,STAY42,27,0,OHL,0.04104313,0.484478,17.1116094,2010,1910,1750,1910
COVE20,HAMH20,20.169,0,OHL,0.04558194,0.7079319,6.4601307,1150,1090,1020,1090
COVE20,RATS2A,64.06,0.5,COMPOSITE,0.20080496,2.4176758,24.1897459,1000,1000,1000,1000
COWB2A,PYLE20,22.58,0,OHL,0.1325446,0.923522,6.279498,930,875,780,875
COWL40,CULJ4A,6.2,0,OHL,0.006634,0.10292,4.20174,2780,2570,2220,2570
COWL40,DIDC41,11.41,0,OHL,0.0122087,0.189406,7.732557,2780,2570,2220,2570
COWL40,ECLA40,36.388,0,OHL,0.03893516,0.6040408,24.6601476,2770,2570,2220,2570
COWL40,LEIB4A,51.17,0,OHL,0.0547519,0.849422,34.677909,2780,2570,2220,2570
COWL40,MITY40,100.228,2.092,COMPOSITE,0.12931043,1.755448818,100.531753,1180,980,875,1130
COWL40,WALH40,89.44,2.092,COMPOSITE,0.11030301,1.553717435,93.9654593,1180,980,875,1130
CREB2A,CREB40,0,0,TRANSFORMER,0.0176,1.5786,-0.3081,750,750,750,750
CREB2A,CREB40,0,0,TRANSFORMER,0.0175,1.5786,-0.57,750,750,750,750
CREB2A,SAES20,22,0,OHL,0.0606,0.82294,6.6998,1730,1650,1500,1650
CREB2B,CREB40,0,0,TRANSFORMER,0.0175,1.5786,-0.57,750,750,750,750
CREB2B,CREB40,0,0,TRANSFORMER,0.0175,1.5786,-0.57,750,750,750,750
CREB2B,SAEN20,21.3,0.4,COMPOSITE,0.059374,0.806513,10.75993,1730,1650,1500,1650
CREB40,KEAD4A,29.74,0,OHL,0.0258738,0.487736,20.574132,2770,2770,2660,2770
CREB40,KEAD4B,29.74,0,OHL,0.0258738,0.487736,20.574132,3070,2880,2660,2880
CREB40,THTO41,29.45,0,OHL,0.0315115,0.48887,19.958265,2770,2770,2660,2770
CREB40,THTO42,29.45,0,OHL,0.0315115,0.48887,19.958265,2770,2770,2660,2770
CULJ4A,DIDC41,5.21,0,OHL,0.0055747,0.086486,3.530817,2780,2570,2220,2570
DAIN40,KEAR40,15.907,0,OHL,0.02668998,0.2957832,9.7572081,2210,2130,1980,2130
DAIN40,MACC40,33.147,1.2,COMPOSITE,0.05224932,0.6194595,66.9851814,2400,2300,2140,2300
DAIN40,WEAV4A,29.5,0,OHL,0.046905,0.52687,18.8151,3100,3050,2960,3050
DAIN40,WEAV4B,29.5,0,OHL,0.046905,0.52687,18.8151,3100,3050,2960,3050
DAMC40,KINO42,0,0.94,CABLE,0.000846,0.00987,16.92,1320,1060,850,1060
DEES41,PENT40,78.91,0,OHL,0.09470858,1.4126548,50.1110606,2780,2570,2220,2570
DEES41,TREU4B,14.312,0,OHL,0.02490288,0.2662032,8.7632376,2010,1910,1750,1910
DEES41,WEAV4B,30.858,0,OHL,0.04906422,0.55112388,19.6812324,3100,3050,2960,3050
DEES42,PENT40,78.91,0,OHL,0.09470858,1.4126548,50.1110606,2780,2570,2220,2570
DEES42,TREU4A,14.312,0,OHL,0.02232672,0.264772,8.8190544,2180,2070,1890,2070
DEES42,WEAV4A,30.858,0,OHL,0.04906422,0.55112388,19.6812324,3100,3050,2960,3050
DIDC41,DIDC42,0,0,REACTOR,0.002,0.5,0,2640,2640,2640,2640
DINO40,PENT40,0,10.762,CABLE,0.0075334,0.118382,215.24,1680,1630,1630,1680
DINO40,PENT40,4.561,6.183,COMPOSITE,0.00920837,0.1437256,126.7509897,1680,1630,1630,1680
DRAK21,DRAK41,0,0,TRANSFORMER,0.0173,1.589,-0.3951,1000,1000,1000,1000
DRAK22,DRAK41,0,0,TRANSFORMER,0.021,1.608,3.13,750,750,750,750
DRAK22,DRAK41,0,0,TRANSFORMER,0.02,1.601,-0.8106,750,750,750,750
DRAK41,RATS42,33.283,0,OHL,0.05269446,0.6034878,20.8885161,2010,1910,1750,1910
DRAK41,WILE40,17.016,0,OHL,0.02960784,0.3164976,10.4188968,2010,1910,1750,1910
DRAK42,HAMH40,29.562,0,OHL,0.05143788,0.5498532,18.1008126,2010,1910,1750,1910
DRAK42,OLDB4A,48.421,0.5,COMPOSITE,0.0951217,0.9254292,37.20651,1000,1000,1000,1000
DRAK42,RUGE40,20.82,0,OHL,0.0362268,0.387252,12.748086,2010,1910,1750,1910
DRAX41,DRAX42,0,0,REACTOR,0.0061,2.0017,0,1320,1320,1320,1320
DRAX41,EGGB41,11.253,0.64,COMPOSITE,0.01258471,0.1945598,30.5222381,2090,2090,1880,1880
DRAX41,FENW4A,13.464,0,OHL,0.01440648,0.2235024,9.1245528,2770,2770,2690,2770
DRAX41,THTO41,22.16,0,OHL,0.0237112,0.367856,15.017832,2780,2570,2220,2570
DRAX42,EGGB42,11.395,0,OHL,0.01241665,0.193525,7.5784715,2780,2670,2450,2670
DRAX42,THOM40,21.243,0.32,COMPOSITE,0.02685509,0.36328334,37.125999,2980,2500,2250,2870
DRAX42,THTO42,22.16,0,OHL,0.0237112,0.367856,15.017832,2780,2570,2220,2570
DUBR4A,FORD4A,0,4.978,CABLE,0.004978,0.0313614,76.06384,1040,1040,1040,1040
DUBR4A,THOM40,52.298,0,OHL,0.05603246,0.8694072,35.4012306,2780,2570,2220,2570
DUBR4B,FORD4B,0,5.236,CABLE,0.0052002,0.0337386,80.22983,1040,1040,1040,1040
DUBR4B,STSB4A,12.635,0,OHL,0.01359305,0.2110014,8.5216155,2780,2570,2220,2570
DUNG20,DUNG40,0,0,TRANSFORMER,0.0175,1.5999,-0.9475,710,660,610,660
DUNG20,DUNG40,0,0,TRANSFORMER,0.0175,1.6039,-1.2034,710,660,610,660
DUNG40,NINF40,43.333,0,OHL,0.03769971,0.7106612,29.9777694,3070,2830,2410,2830
DUNG40,NINF40,43.564,0,OHL,0.03790068,0.7144496,30.1375752,3070,2830,2410,2830
DUNG40,SELL40,24.659,0.415,COMPOSITE,0.04311416,0.4608569,30.0387057,1850,1550,1390,1550
DUNG40,SELL40,24.658,0.415,COMPOSITE,0.04311242,0.4608383,30.0380934,1850,1550,1390,1550
EALI20,LALE20,0,19.694,CABLE,0.0531738,0.3919106,167.59594,525,405,405,525
EALI20,LALE20,0,19.694,CABLE,0.0531738,0.3919106,167.59594,525,405,405,525
EALI20,WISD2A,0,6.075,CABLE,0.01215,0.1391175,61.53975,760,760,620,760
EASO40,WYMO40,36.5,0,OHL,0.039055,0.6059,24.73605,2780,2570,2220,2570
EASO40,WYMO40,36.5,0,OHL,0.039055,0.6059,24.73605,2780,2570,2220,2570
ECLA40,LEIB4B,14.26,0,OHL,0.0152582,0.236716,9.664002,2780,2570,2220,2570
ECLA40,PAFB4A,44.5,0,OHL,0.07743,0.8277,27.24735,2010,1910,1750,1910
ECLA40,PAFB4B,44.388,0,OHL,0.07723512,0.8256168,27.1787724,2010,1910,1750,1910
EGGB41,ROCH4A,86.307,0.7,COMPOSITE,0.13731726,1.589186587,66.4277014,1240,1120,1120,1240
